"SIATKA 20x20","","","szt.","=((PROPERTIES!foundationArea*2)*1.15)/PROPERTIES!gridArea","184,64",""
"XPS 5","","","m3","=(PROPERTIES!foundationArea*0.1)+(((PROPERTIES!buildingLength+PROPERTIES!buildingWidth)*2)*0.8)*0.05","336",""
"XPS 8","","","m3","=(PROPERTIES!foundationArea*0.1)+(((PROPERTIES!buildingLength+PROPERTIES!buildingWidth)*2)*0.8)*0.08","",""
"PRĘT FI8","","","mb","=(PROPERTIES!perimeter*4)+((PROPERTIES!perimeter/0.4)*1.03)+((PROPERTIES!perimeter/0.3+1)*0.6)+(2.4*4)*4","15.34",""
"KOBYŁKI","","","szt.","=PROPERTIES!foundationArea*1.3","1.83",""
"DYSTANSE","","","szt.","=PROPERTIES!foundationArea*1.3","1.32",""
"GLIDEX","","","","1","12.7",""
"DYSPERBIT","","","","=0.5*PROPERTIES!glassQuantity","36",""
"DRUT WIĄZAŁKOWY","","dajemy 5kg","kg","5","5.25",""
"BLOCZKI BETONOWE","","","szt.","=PROPERTIES!glassQuantity*5","3.8",""
"BETON C25","","","m3","=PROPERTIES!foundationArea*0.2","",""
"KOPARKA","","nie zamawiamy powyżej 150zł/h","godz.","10","150",""
"PIASEK","","","","4","700",""
"TRÓJNIK 110","","","szt.","","13.5",""
"KOLANO 110","","","szt.","","5.5",""
"KOLANO 110","","","szt.","","5.5",""
"KOLANO 110","","","szt.","","6",""
"RURA 110-0,5m","","","szt.","","9.7",""
"RURA 110-1M","","","szt.","","13.7",""
"RURA 110-2m","","","szt.","","9.7",""
"REDUKCJA 16","","","szt.","","9",""
"RURA 160-1M","","","szt.","","38",""
"RURA 160-2M","","","szt.","","42",""
"KOLANO 160 90*","","","szt.","","",""
"TARCZA 230M","","","szt.","","7.32",""
"KOREK PCV","","","szt.","","3",""
"KOLANO 160","","","szt.","","13.6",""
"EPS 100 5CM","","","m3","=((PROPERTIES!foundationArea*2)*0.9)*0.05","",""
"KLEJ DO MUROWANIA","","","szt.","=0.5*PROPERTIES!glassQuantity","",""
"FOLIA BUDOWLANA CZARNA POD PŁYTĘ","","","m2","=PROPERTIES!foundationArea*1.1","",""
"WYLEWKA","","PRZY M2 PŁYTY POWYŻEJ 65M2 ODLICZAMY 15%","m2","=PROPERTIES!foundationArea*0.9","45",""
"FOLIA BUDOWLANA POD WYLEWKĘ","","","","=PROPERTIES!foundationArea*1.1","",""
